City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,vilyuysk,63.7553,121.6247,13.41,60,1,3.29,RU,1691614878
139,segou,13.4317,-6.2157,29.19,61,100,5.14,ML,1691614879
140,kibuye,-2.0597,29.3482,21.8,54,82,1.25,RW,1691614879
141,konosha,60.9736,40.257,15.27,92,0,2.31,RU,1691614879
142,port alfred,-33.5906,26.891,16.21,88,39,2.68,ZA,1691614786
143,sogndal,61.2283,7.1003,10.21,100,75,0.0,NO,1691614879
144,boguchany,58.3814,97.4531,13.37,93,45,1.08,RU,1691614879
145,shanwei,22.782,115.3475,28.73,78,22,4.44,CN,1691614880
146,weno,7.4515,151.8468,27.95,80,92,3.37,FM,1691614880
147,invercargill,-46.4,168.35,0.01,95,85,0.45,NZ,1691614653
148,carnarvon,-24.8667,113.6333,19.4,75,28,4.53,AU,1691614880
149,antofagasta,-23.65,-70.4,17.6,75,36,2.24,CL,1691614673
150,ottawa,45.4112,-75.6981,29.57,57,75,6.17,CA,1691615034
151,sao felix do xingu,-6.6447,-51.995,31.97,35,79,1.05,BR,1691614881
152,aasiaat,68.7098,-52.8699,4.56,81,16,3.94,GL,1691614782
153,kapoeta,4.7717,33.5903,25.5,64,72,2.35,SS,1691614881
154,stanley,54.868,-1.6985,17.66,85,75,2.57,GB,1691614787
155,jamestown,42.097,-79.2353,27.23,54,20,5.66,US,1691614852
156,valdivia,-39.8142,-73.2459,11.05,95,100,3.8,CL,1691614674
157,nagqu,31.5,92.0,5.93,80,72,1.65,CN,1691614881
158,atherton,53.5237,-2.4935,20.94,83,99,0.45,GB,1691614882
159,portland,45.5234,-122.6762,29.23,50,75,2.57,US,1691614628
160,ugoofaaru,5.6667,73.0,27.83,79,100,6.57,MV,1691614882
161,remire-montjoly,4.9167,-52.2667,30.02,70,0,5.66,GF,1691614882
162,qaqortoq,60.7167,-46.0333,7.69,75,16,1.94,GL,1691614786
163,olyokminsk,60.3736,120.4264,16.11,95,7,1.56,RU,1691614882
164,longyearbyen,78.2186,15.6401,9.91,66,0,1.54,SJ,1691614882
165,puerto ayacucho,5.6639,-67.6236,29.14,76,99,2.19,VE,1691614611
166,isafjordur,66.0755,-23.124,9.13,63,86,3.68,IS,1691614639
167,ponta delgada,37.7333,-25.6667,23.4,94,40,3.6,PT,1691614883
168,udachny,66.4167,112.4,13.03,54,98,2.66,RU,1691614883
169,mount gambier,-37.8333,140.7667,9.93,76,100,4.76,AU,1691614883
170,moron,-34.6534,-58.6198,16.94,76,32,4.92,AR,1691614884
171,gudalur,9.6833,77.2667,22.64,92,100,2.28,IN,1691614884
172,galle,6.0367,80.217,26.3,86,100,3.63,LK,1691614884
173,enewetak,11.3474,162.3373,28.51,77,84,6.47,MH,1691614884
174,rongelap,11.1635,166.8941,27.9,76,41,2.85,MH,1691614884
175,xiangxiang,27.7333,112.5333,25.65,85,1,1.23,CN,1691614588
176,poronaysk,49.2167,143.1167,14.7,92,100,1.38,RU,1691614885
177,kafanchan,9.5833,8.3,20.21,97,66,1.18,NG,1691614885
178,east london,-33.0153,27.9116,17.14,80,65,7.55,ZA,1691614885
179,ondjiva,-17.0667,15.7333,22.02,23,61,3.09,AO,1691614885
180,sibolga,1.7427,98.7792,24.09,93,100,1.48,ID,1691614886
181,punta arenas,-53.15,-70.9167,3.95,93,100,3.51,CL,1691614713
182,pisco,-13.7,-76.2167,21.03,78,100,3.09,PE,1691614886
183,san juan de miraflores,-12.1629,-76.9635,21.29,75,35,4.66,PE,1691614886
184,sao gabriel da cachoeira,-0.1303,-67.0892,30.08,67,45,0.71,BR,1691614886
185,lucheng,31.2336,117.2806,24.77,92,100,1.59,CN,1691614886
186,olinda,-8.0089,-34.8553,25.85,69,75,5.66,BR,1691614613
187,ballina,-28.8667,153.5667,9.32,85,7,2.56,AU,1691614887
188,monchegorsk,67.9397,32.8739,17.05,79,0,2.63,RU,1691614887
189,crane,31.3974,-102.3501,40.54,14,1,3.03,US,1691614792
190,moengo,5.6167,-54.4,28.58,70,71,3.3,SR,1691614887
191,megion,61.0296,76.1136,12.01,82,100,4.33,RU,1691614887
192,taltal,-25.4,-70.4833,16.79,74,80,3.24,CL,1691614822
193,nova sintra,14.8667,-24.7167,23.02,73,51,7.43,CV,1691614630
194,pancas,-19.225,-40.8514,21.19,87,89,2.26,BR,1691614888
195,saint-joseph,-21.3667,55.6167,19.21,77,19,3.38,RE,1691614888
196,severo-yeniseyskiy,60.3725,93.0408,10.55,86,31,2.03,RU,1691614888
197,paraiso,9.8383,-83.8656,27.95,86,100,1.66,CR,1691614686
198,jindabyne,-36.4167,148.6333,7.73,64,15,6.81,AU,1691614889
199,quelimane,-17.8786,36.8883,17.97,100,75,1.54,MZ,1691614889
200,alice springs,-23.7,133.8833,6.75,70,0,1.54,AU,1691614889
201,fallsburg,41.732,-74.6013,27.59,53,20,5.04,US,1691614889
202,lamu,-2.2717,40.902,24.12,85,19,6.6,KE,1691614889
203,sidareja,-7.4846,108.7923,21.79,91,100,0.65,ID,1691614889
204,roma,43.2128,-75.4557,27.68,55,0,5.66,US,1691614716
205,lethem,3.3803,-59.7968,30.9,63,91,1.4,GY,1691614890
206,nuku'alofa,-21.1333,-175.2,22.19,94,100,3.09,TO,1691614611
207,iguatu,-6.3594,-39.2986,29.73,28,37,1.78,BR,1691614890
208,belidzhi,41.8918,48.4125,27.66,65,0,2.41,RU,1691614887
209,chiredzi,-21.05,31.6667,18.97,59,98,3.3,ZW,1691614890
210,buka,40.8108,69.1986,25.83,31,1,1.61,UZ,1691614890
211,jacksonville,30.3322,-81.6556,37.21,53,75,3.6,US,1691614747
212,ongjin,37.9347,125.3619,23.54,81,100,4.49,KP,1691614891
213,mumbwa,-14.9783,27.0619,16.64,35,0,3.26,ZM,1691614891
214,whangarei,-35.7317,174.3239,10.01,79,5,1.73,NZ,1691614861
215,bageshwar,29.85,79.7667,21.66,98,76,0.5,IN,1691614892
216,tomatlan,19.9333,-105.25,33.7,60,15,4.3,MX,1691614892
217,staraya russa,57.9944,31.3608,13.9,61,42,2.59,RU,1691614892
218,ivdel',60.6911,60.4206,14.56,94,80,1.81,RU,1691614892
219,howard springs,-12.497,131.047,22.95,77,95,2.89,AU,1691614893
220,tutoia,-2.7619,-42.2744,26.56,78,54,5.22,BR,1691614893
221,conception bay south,47.4999,-52.9981,14.75,85,100,5.44,CA,1691614893
222,turkmenbasy,40.0222,52.9552,27.43,39,0,3.09,TM,1691614893
223,nelson bay,-32.7167,152.15,10.05,97,99,2.24,AU,1691614893
224,horta,38.5333,-28.6333,24.8,89,20,5.14,PT,1691614665
225,saint-philippe,-21.3585,55.7679,19.77,80,35,5.14,RE,1691614785
226,island harbour,50.724,-1.2758,17.86,88,0,1.63,GB,1691614894
227,tolanaro,-25.0319,46.9987,20.04,88,20,7.2,MG,1691614632
228,konarka,19.9,86.1167,28.22,72,75,3.32,IN,1691614894
229,gobabis,-22.45,18.9667,13.84,27,62,6.59,NA,1691614894
230,sisimiut,66.9395,-53.6735,6.43,81,100,3.6,GL,1691614894
231,utrik,11.2278,169.8474,28.01,73,90,5.32,MH,1691614894
232,buala,-8.145,159.5921,26.06,86,98,3.2,SB,1691614666
233,poltavka,54.3663,71.7632,19.69,46,28,1.65,RU,1691614895
234,berdigestyakh,62.0989,126.6992,13.33,65,16,3.11,RU,1691614895
235,inarajan village,13.2736,144.7484,26.54,95,100,7.67,GU,1691614635
236,miles city,46.4083,-105.8406,31.91,23,16,5.79,US,1691614895
237,zaozersk,69.4005,32.4476,17.9,78,0,1.01,RU,1691614895
238,takoradi,4.8845,-1.7554,24.02,85,75,4.73,GH,1691614896
239,jambi city,-1.6,103.6167,22.38,91,43,1.15,ID,1691614896
240,gadzhiyevo,69.2551,33.3362,18.74,74,0,2.18,RU,1691614896
241,washington,47.5001,-120.5015,28.04,38,53,4.35,US,1691614871
242,luanda,-8.8368,13.2343,21.0,83,6,3.6,AO,1691614802
243,alaghsas,17.0187,8.0168,26.11,63,38,11.46,NE,1691614985
244,choyr,46.3611,108.3611,19.69,51,98,4.69,MN,1691614990
245,pathein,16.7833,94.7333,24.38,95,99,2.61,MM,1691614990
246,homer,59.6425,-151.5483,13.76,94,100,1.54,US,1691614990
247,ambon,-3.6954,128.1814,26.04,16,100,6.23,ID,1691614990
248,bryan,30.6744,-96.37,41.01,28,0,5.14,US,1691614862
249,lazaro cardenas,17.9583,-102.2,31.46,65,22,2.84,MX,1691614852
250,saipan,15.1355,145.701,28.39,100,100,4.12,MP,1691614991
251,casablanca,33.5928,-7.6192,25.12,83,9,2.68,MA,1691614991
252,yarmouth,41.7057,-70.2286,29.03,59,20,4.12,US,1691614991
253,jayapura,-2.5333,140.7,23.66,93,84,2.35,ID,1691614716
254,katsuren-haebaru,26.3369,127.8719,27.01,100,40,0.0,JP,1691614952
255,undurkhaan,47.3194,110.6556,16.19,71,100,1.13,MN,1691614991
256,ndjole,-0.1783,10.7649,25.79,68,47,2.5,GA,1691614992
257,nova xavantina,-14.6667,-52.35,32.74,17,2,1.48,BR,1691614908
258,jutai,-5.1833,-68.9,29.95,62,97,0.29,BR,1691614992
259,majene,-3.5403,118.9707,23.78,90,19,5.4,ID,1691614992
260,ravar,31.2656,56.8055,29.29,19,8,4.61,IR,1691614992
261,tamandare,-8.7597,-35.1047,23.74,74,6,4.09,BR,1691614992
262,lata,40.1629,-8.3327,16.67,93,0,1.09,PT,1691614791
263,keflavik,64.0049,-22.5624,15.95,62,0,5.66,IS,1691614791
264,jakobstad,63.6749,22.7026,15.58,74,87,2.73,FI,1691614993
265,villa gesell,-37.2639,-56.973,12.81,88,100,4.62,AR,1691614812
266,arkhangel'sk,64.5401,40.5433,16.19,83,4,2.16,RU,1691614993
267,dawesville,30.9224,-84.0091,36.31,58,75,2.68,US,1691614993
268,inirida,3.8653,-67.9239,32.04,60,52,1.06,CO,1691614986
269,cabo san lucas,22.8909,-109.9124,34.23,70,100,3.09,MX,1691614552
270,odienne,9.51,-7.5692,22.68,95,99,1.96,CI,1691614956
271,bel ombre,-4.6167,55.4167,25.91,78,20,2.57,SC,1691614994
272,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,77,0,2.0,RU,1691614994
